method,class,threshold,accuracy,accuracy_occluded,fidelity
EB,0,0.30000000000000004,0.9529180971064247,0.8965179009318294,0.05640019617459535
EB,0,0.4,0.9529180971064247,0.9033840117704757,0.04953408533594905
EB,0,0.5,0.9529180971064247,0.9166257969592938,0.03629230014713092
EB,0,0.6000000000000001,0.9529180971064247,0.9254536537518392,0.027464443354585533
EB,0,0.7000000000000001,0.9529180971064247,0.9323197645904855,0.020598332515939233
EB,0,0.8,0.9529180971064247,0.9347719470328593,0.01814615007356546
EB,0,0.9,0.9529180971064247,0.9396763119176067,0.013241785188818023
EB,1,0.0,0.9529180971064247,0.7685139774399216,0.18440411966650316
EB,1,0.1,0.9529180971064247,0.8043158410985778,0.14860225600784693
EB,1,0.2,0.9529180971064247,0.8273663560568907,0.12555174104953404
EB,1,0.30000000000000004,0.9529180971064247,0.8538499264345267,0.09906817067189799
EB,1,0.4,0.9529180971064247,0.870524767042668,0.08239333006375671
EB,1,0.5,0.9529180971064247,0.8832761157430112,0.06964198136341349
EB,1,0.6000000000000001,0.9529180971064247,0.8891613536047082,0.06375674350171656
EB,1,0.7000000000000001,0.9529180971064247,0.8979892103972535,0.054928886709171176
EB,1,0.8,0.9529180971064247,0.9014222658165768,0.051495831289847915
EB,1,0.9,0.9529180971064247,0.9043648847474252,0.048553212358999565
GradCAM-avg,0,0.0,0.9529180971064247,0.7302599313388917,0.22265816576753306
GradCAM-avg,0,0.1,0.9529180971064247,0.7150564001961746,0.23786169691025016
GradCAM-avg,0,0.2,0.9529180971064247,0.7420304070622854,0.21088769004413932
GradCAM-avg,0,0.30000000000000004,0.9529180971064247,0.7743992153016185,0.17851888180480624
GradCAM-avg,0,0.4,0.9529180971064247,0.8077488965179009,0.14516920058852378
GradCAM-avg,0,0.5,0.9529180971064247,0.8415890142226582,0.11132908288376653
GradCAM-avg,0,0.6000000000000001,0.9529180971064247,0.8651299656694458,0.08778813143697894
GradCAM-avg,0,0.7000000000000001,0.9529180971064247,0.885728298185385,0.06718979892103971
GradCAM-avg,0,0.8,0.9529180971064247,0.9082883766552231,0.044629720451201615
GradCAM-avg,0,0.9,0.9529180971064247,0.9288867091711623,0.024031387935262383
GradCAM-avg,1,0.0,0.9529180971064247,0.8366846493379108,0.11623344776851396
GradCAM-avg,1,0.1,0.9529180971064247,0.8048062775870525,0.14811181951937225
GradCAM-avg,1,0.2,0.9529180971064247,0.7381069151544875,0.21481118195193727
GradCAM-avg,1,0.30000000000000004,0.9529180971064247,0.6974006866110839,0.2555174104953408
GradCAM-avg,1,0.4,0.9529180971064247,0.6768023540951447,0.27611574301128006
GradCAM-avg,1,0.5,0.9529180971064247,0.6905345757724375,0.26238352133398724
