method,class,threshold,accuracy,accuracy_occluded,fidelity
GradCAM-avg,0,0.30000000000000004,0.9279100529100529,0.5714285714285714,0.3564814814814815
GradCAM-avg,0,0.4,0.9279100529100529,0.6005291005291006,0.32738095238095233
GradCAM-avg,0,0.5,0.9279100529100529,0.6547619047619048,0.27314814814814814
GradCAM-avg,0,0.6000000000000001,0.9279100529100529,0.7235449735449735,0.20436507936507942
GradCAM-avg,0,0.7000000000000001,0.9279100529100529,0.7744708994708994,0.1534391534391535
GradCAM-avg,0,0.8,0.9279100529100529,0.8134920634920635,0.11441798941798942
GradCAM-avg,0,0.9,0.9279100529100529,0.8525132275132276,0.07539682539682535
GradCAM-avg,1,0.0,0.9279100529100529,0.5403439153439153,0.38756613756613756
GradCAM-avg,1,0.1,0.9279100529100529,0.5462962962962963,0.3816137566137566
GradCAM-avg,1,0.2,0.9279100529100529,0.5443121693121693,0.3835978835978836
GradCAM-avg,1,0.30000000000000004,0.9279100529100529,0.5621693121693122,0.3657407407407407
GradCAM-avg,1,0.4,0.9279100529100529,0.5846560846560847,0.34325396825396826
GradCAM-avg,1,0.5,0.9279100529100529,0.6157407407407407,0.3121693121693122
GradCAM-avg,1,0.6000000000000001,0.9279100529100529,0.6554232804232805,0.27248677248677244
GradCAM-avg,1,0.7000000000000001,0.9279100529100529,0.707010582010582,0.22089947089947093
GradCAM-avg,1,0.8,0.9279100529100529,0.7466931216931217,0.18121693121693117
GradCAM-avg,1,0.9,0.9279100529100529,0.8082010582010583,0.11970899470899465
Gradient,0,0.0,0.9279100529100529,0.542989417989418,0.3849206349206349
Gradient,0,0.1,0.9279100529100529,0.533068783068783,0.3948412698412699
Gradient,0,0.2,0.9279100529100529,0.5707671957671958,0.3571428571428571
Gradient,0,0.30000000000000004,0.9279100529100529,0.6011904761904762,0.32671957671957674
Gradient,0,0.4,0.9279100529100529,0.6415343915343915,0.2863756613756614
Gradient,0,0.5,0.9279100529100529,0.6825396825396826,0.24537037037037035
Gradient,0,0.6000000000000001,0.9279100529100529,0.7394179894179894,0.1884920634920635
Gradient,0,0.7000000000000001,0.9279100529100529,0.7883597883597884,0.13955026455026454
Gradient,0,0.8,0.9279100529100529,0.8220899470899471,0.10582010582010581
Gradient,0,0.9,0.9279100529100529,0.8465608465608465,0.0813492063492064
Gradient,1,0.0,0.9279100529100529,0.542989417989418,0.3849206349206349
Gradient,1,0.1,0.9279100529100529,0.5198412698412699,0.408068783068783
Gradient,1,0.2,0.9279100529100529,0.5396825396825397,0.38822751322751325
Gradient,1,0.30000000000000004,0.9279100529100529,0.6025132275132276,0.32539682539682535
Gradient,1,0.4,0.9279100529100529,0.6593915343915344,0.2685185185185185
Gradient,1,0.5,0.9279100529100529,0.716931216931217,0.21097883597883593
Gradient,1,0.6000000000000001,0.9279100529100529,0.7632275132275133,0.16468253968253965
Gradient,1,0.7000000000000001,0.9279100529100529,0.7943121693121693,0.1335978835978836
Gradient,1,0.8,0.9279100529100529,0.8287037037037037,0.09920634920634919
Gradient,1,0.9,0.9279100529100529,0.8492063492063492,0.07870370370370372
cEB,0,0.0,0.9279100529100529,0.5674603174603174,0.36044973544973546
cEB,0,0.1,0.9279100529100529,0.7367724867724867,0.19113756613756616
cEB,0,0.2,0.9279100529100529,0.7996031746031746,0.12830687830687826
cEB,0,0.30000000000000004,0.9279100529100529,0.8306878306878307,0.09722222222222221
cEB,0,0.4,0.9279100529100529,0.8498677248677249,0.07804232804232802
cEB,0,0.5,0.9279100529100529,0.8630952380952381,0.06481481481481477
cEB,0,0.6000000000000001,0.9279100529100529,0.873015873015873,0.054894179894179884
cEB,0,0.7000000000000001,0.9279100529100529,0.8743386243386243,0.0535714285714286
cEB,0,0.8,0.9279100529100529,0.8849206349206349,0.04298941798941802
cEB,0,0.9,0.9279100529100529,0.8875661375661376,0.04034391534391535
cEB,1,0.0,0.9279100529100529,0.5403439153439153,0.38756613756613756
cEB,1,0.1,0.9279100529100529,0.6177248677248677,0.31018518518518523
cEB,1,0.2,0.9279100529100529,0.6746031746031746,0.25330687830687826
cEB,1,0.30000000000000004,0.9279100529100529,0.7083333333333334,0.21957671957671954
cEB,1,0.4,0.9279100529100529,0.7486772486772487,0.1792328042328042
cEB,1,0.5,0.9279100529100529,0.7791005291005291,0.14880952380952384
cEB,1,0.6000000000000001,0.9279100529100529,0.7996031746031746,0.12830687830687826
cEB,1,0.7000000000000001,0.9279100529100529,0.8181216931216931,0.10978835978835977
cEB,1,0.8,0.9279100529100529,0.8333333333333334,0.09457671957671954
cEB,1,0.9,0.9279100529100529,0.8485449735449735,0.07936507936507942
